automl_classification,AutoML Classification
automl_regression,AutoML Regression
automl_time_series_forecasting,AutoML Time Series Forecasting
automl_image_classification,AutoML Image Classification
automl_multilabel_image_classification,AutoML Multilabel Image Classification
automl_image_object_detection,AutoML Image Object Detection
automl_image_instance_segmentation,AutoML Image Instance Segmentation
automl_text_classification,AutoML Text Classification
automl_multilabel_text_classification,AutoML Multilabel Text Classification
automl_text_ner,AutoML Text NER
rai_causal,RAI Causal
rai_counterfactual,RAI Counterfactual
rai_error_analysis,RAI Error analysis
rai_explain,RAI Explain
designer_add_columns,Designer Add Columns
designer_add_rows,Designer Add Rows
designer_apply_math_operation,Designer Apply Math Operation
designer_apply_sql_transformation,Designer Apply SQL Transformation
designer_clean_missing_data,Designer Clean Missing Data
designer_clip_values,Designer Clip Values
designer_convert_to_csv,Designer Convert to CSV
designer_convert_to_dataset,Designer Convert to Dataset
designer_convert_to_indicator_values,Designer Convert to Indicator Values
designer_edit_metadata,Designer Edit Metadata
designer_group_data_into_bins,Designer Group Data into Bins
designer_join_data,Designer Join Data
designer_normalize_data,Designer Normalize Data
designer_partition_and_sample,Designer Partition and Sample
designer_remove_duplicate_rows,Designer Remove Duplicate Rows
designer_smote,Designer SMOTE
designer_select_columns_transform,Designer Select Columns Transform
designer_select_columns_in_dataset,Designer Select Columns in Dataset
designer_split_data,Designer Split Data
